Public
Error Code from 50000 to 53999

General Class
Error Message	HTTP Status Code	Error Code
Insufficient equity for borrowing, keep enough funds to pay interest for at least one day	200	59304
Use VIP loan first to set the VIP loan priority	200	59305
Your borrowing amount exceeds the max limit	200	59306
You are not eligible for VIP loans	200	59307
Unable to repay VIP loan due to insufficient borrow limit	200	59308
Unable to repay an amount that exceeds the borrowed amount	200	59309
Your account does not support VIP loan	200	59310
Unable to set up as there is VIP loan	200	59311
{currency} does not support VIP loans	200	59312
Holdings already reached the limit.	200	59401
None of the passed instId is in live state, please check them separately.	200	59402
Only the APIKey of the main account has permission.	200	59500
Only 50 APIKeys can be created per account.	200	59501
Note name cannot be duplicate with the currently created APIKey note name.	200	59502
Each APIKey can bind up to 20 IP addresses.	200	59503
The sub account does not support the withdrawal function.	200	59504
The passphrase format is incorrect.	200	59505
APIKey does not exist.	200	59506
The two accounts involved in a transfer must be two different sub accounts
under the same parent account.	200	59507
The sub account of {0} is suspended.	200	59508
This sub-account name already exists, try another name	200	59601
Number of API keys exceeds the limit	200	59602
Number of sub accounts exceeds the limit	200	59603
Only the main account APIkey can access this API	200	59604
This API key does not exist in your sub-account, try another API key	200	59605
Transfer funds to your main account before deleting your sub-account	200	59606
Incorrect trades password	200	59607
Only the Broker account has permission to operate this API	200	59608
Broker already exists	200	59609
Broker does not exist	200	59610
Broker unverified	200	59611
Cannot convert time format	200	59612
